      1.499   6.28E-01   3.57E-01   0.00E+00   4.50E-01  -3.19E-01   0.00E+00  -1.08E+00  -3.81E-02   0.00E+00 
      1.599   5.20E-01   3.41E-01   0.00E+00   5.61E-01  -3.49E-01   0.00E+00  -1.08E+00   8.57E-03   0.00E+00 
      1.699   4.10E-01   3.03E-01   0.00E+00   6.66E-01  -3.58E-01   0.00E+00  -1.08E+00   5.53E-02   0.00E+00 
      1.799   3.02E-01   2.46E-01   0.00E+00   7.62E-01  -3.48E-01   0.00E+00  -1.06E+00   1.02E-01   0.00E+00 
      1.899   1.99E-01   1.74E-01   0.00E+00   8.44E-01  -3.23E-01   0.00E+00  -1.04E+00   1.49E-01   0.00E+00 
      1.999   1.02E-01   9.32E-02   0.00E+00   9.12E-01  -2.88E-01   0.00E+00  -1.01E+00   1.95E-01   0.00E+00 
      2.099   8.30E-03   7.65E-03   0.00E+00   9.66E-01  -2.47E-01   0.00E+00  -9.74E-01   2.39E-01   0.00E+00 
      2.199  -8.53E-02  -7.83E-02   0.00E+00   1.01E+00  -2.03E-01   0.00E+00  -9.23E-01   2.81E-01   0.00E+00 
      2.299  -1.82E-01  -1.60E-01   0.00E+00   1.04E+00  -1.57E-01   0.00E+00  -8.57E-01   3.17E-01   0.00E+00 
      2.399  -2.83E-01  -2.34E-01   0.00E+00   1.06E+00  -1.10E-01   0.00E+00  -7.78E-01   3.44E-01   0.00E+00 
      2.499  -3.90E-01  -2.94E-01   0.00E+00   1.07E+00  -6.35E-02   0.00E+00  -6.85E-01   3.58E-01   0.00E+00 
      2.599  -5.01E-01  -3.36E-01   0.00E+00   1.08E+00  -1.68E-02   0.00E+00  -5.80E-01   3.52E-01   0.00E+00 
      2.699  -6.09E-01  -3.56E-01   0.00E+00   1.08E+00   2.99E-02   0.00E+00  -4.71E-01   3.26E-01   0.00E+00 
      2.799  -7.11E-01  -3.56E-01   0.00E+00   1.07E+00   7.66E-02   0.00E+00  -3.61E-01   2.79E-01   0.00E+00 
      2.899  -8.01E-01  -3.38E-01   0.00E+00   1.06E+00   1.23E-01   0.00E+00  -2.55E-01   2.15E-01   0.00E+00 
      2.999  -8.77E-01  -3.08E-01   0.00E+00   1.03E+00   1.70E-01   0.00E+00  -1.55E-01   1.39E-01   0.00E+00 
      3.099  -9.38E-01  -2.70E-01   0.00E+00   9.97E-01   2.15E-01   0.00E+00  -5.97E-02   5.50E-02   0.00E+00 
      3.199  -9.86E-01  -2.28E-01   0.00E+00   9.52E-01   2.59E-01   0.00E+00   3.37E-02  -3.12E-02   0.00E+00 
      3.299  -1.02E+00  -1.82E-01   0.00E+00   8.95E-01   2.98E-01   0.00E+00   1.28E-01  -1.16E-01   0.00E+00 
