#Index            X            Y            Z         Mass
     1  4.30177E-01 -3.11436E-01  0.00000E+00  1.00000E+00
     2 -1.07774E+00 -4.64649E-02  0.00000E+00  1.00000E+00
     3  6.47035E-01  3.57900E-01  0.00000E+00  1.00000E+00
     1  5.40670E-01 -3.45452E-01  0.00000E+00  1.00000E+00
     2 -1.08131E+00  2.59022E-04  0.00000E+00  1.00000E+00
     3  5.40102E-01  3.45192E-01  0.00000E+00  1.00000E+00
     1  6.47575E-01 -3.58053E-01  0.00000E+00  1.00000E+00
     2 -1.07773E+00  4.69822E-02  0.00000E+00  1.00000E+00
     3  4.29611E-01  3.11069E-01  0.00000E+00  1.00000E+00
     1  7.45296E-01 -3.50941E-01  0.00000E+00  1.00000E+00
     2 -1.06682E+00  9.37061E-02  0.00000E+00  1.00000E+00
     3  3.20966E-01  2.57233E-01  0.00000E+00  1.00000E+00
     1  8.30038E-01 -3.28277E-01  0.00000E+00  1.00000E+00
     2 -1.04800E+00  1.40326E-01  0.00000E+00  1.00000E+00
     3  2.17393E-01  1.87950E-01  0.00000E+00  1.00000E+00
     1  9.00431E-01 -2.94858E-01  0.00000E+00  1.00000E+00
     2 -1.02033E+00  1.86500E-01  0.00000E+00  1.00000E+00
     3  1.19319E-01  1.08356E-01  0.00000E+00  1.00000E+00
     1  9.56921E-01 -2.54780E-01  0.00000E+00  1.00000E+00
     2 -9.82513E-01  2.31477E-01  0.00000E+00  1.00000E+00
     3  2.50046E-02  2.33009E-02  0.00000E+00  1.00000E+00
     1  1.00087E+00 -2.10979E-01  0.00000E+00  1.00000E+00
     2 -9.33017E-01  2.73856E-01  0.00000E+00  1.00000E+00
     3 -6.84497E-02 -6.28785E-02  0.00000E+00  1.00000E+00
     1  1.03387E+00 -1.65324E-01  0.00000E+00  1.00000E+00
     2 -8.70295E-01  3.11308E-01  0.00000E+00  1.00000E+00
     3 -1.64176E-01 -1.45986E-01  0.00000E+00  1.00000E+00
     1  1.05735E+00 -1.18882E-01  0.00000E+00  1.00000E+00
     2 -7.93303E-01  3.40354E-01  0.00000E+00  1.00000E+00
     3 -2.64664E-01 -2.21474E-01  0.00000E+00  1.00000E+00
     1  1.07247E+00 -7.21920E-02  0.00000E+00  1.00000E+00
     2 -7.02317E-01  3.56472E-01  0.00000E+00  1.00000E+00
     3 -3.70775E-01 -2.84283E-01  0.00000E+00  1.00000E+00
     1  1.07998E+00 -2.54667E-02  0.00000E+00  1.00000E+00
     2 -5.99799E-01  3.54944E-01  0.00000E+00  1.00000E+00
     3 -4.80821E-01 -3.29480E-01  0.00000E+00  1.00000E+00
     1  1.08030E+00  2.12516E-02  0.00000E+00  1.00000E+00
     2 -4.90540E-01  3.32532E-01  0.00000E+00  1.00000E+00
     3 -5.90406E-01 -3.53787E-01  0.00000E+00  1.00000E+00
     1  1.07343E+00  6.79770E-02  0.00000E+00  1.00000E+00
     2 -3.80339E-01  2.89078E-01  0.00000E+00  1.00000E+00
     3 -6.93750E-01 -3.57058E-01  0.00000E+00  1.00000E+00
     1  1.05902E+00  1.14677E-01  0.00000E+00  1.00000E+00
     2 -2.73787E-01  2.27633E-01  0.00000E+00  1.00000E+00
     3 -7.85897E-01 -3.42313E-01  0.00000E+00  1.00000E+00
     1  1.03632E+00  1.61158E-01  0.00000E+00  1.00000E+00
     2 -1.72823E-01  1.53053E-01  0.00000E+00  1.00000E+00
     3 -8.64169E-01 -3.14215E-01  0.00000E+00  1.00000E+00
     1  1.00422E+00  2.06920E-01  0.00000E+00  1.00000E+00
     2 -7.67757E-02  7.04261E-02  0.00000E+00  1.00000E+00
     3 -9.28130E-01 -2.77349E-01  0.00000E+00  1.00000E+00
     1  9.61308E-01  2.50949E-01  0.00000E+00  1.00000E+00
     2  1.67412E-02 -1.56531E-02  0.00000E+00  1.00000E+00
     3 -9.78743E-01 -2.35300E-01  0.00000E+00  1.00000E+00
     1  9.05990E-01  2.91463E-01  0.00000E+00  1.00000E+00
     2  1.10840E-01 -1.00977E-01  0.00000E+00  1.00000E+00
     3 -1.01753E+00 -1.90489E-01  0.00000E+00  1.00000E+00
     1  8.36868E-01  3.25626E-01  0.00000E+00  1.00000E+00
     2  2.08476E-01 -1.81242E-01  0.00000E+00  1.00000E+00
     3 -1.04606E+00 -1.44388E-01  0.00000E+00  1.00000E+00
     1  7.53373E-01  3.49439E-01  0.00000E+00  1.00000E+00
     2  3.11532E-01 -2.51648E-01  0.00000E+00  1.00000E+00
     3 -1.06563E+00 -9.77955E-02  0.00000E+00  1.00000E+00
     1  6.56684E-01  3.58125E-01  0.00000E+00  1.00000E+00
     2  4.19809E-01 -3.07049E-01  0.00000E+00  1.00000E+00
     3 -1.07723E+00 -5.10803E-02  0.00000E+00  1.00000E+00
     1  5.50379E-01  3.47394E-01  0.00000E+00  1.00000E+00
     2  5.30331E-01 -3.43035E-01  0.00000E+00  1.00000E+00
     3 -1.08145E+00 -4.36258E-03  0.00000E+00  1.00000E+00
     1  4.39961E-01  3.15260E-01  0.00000E+00  1.00000E+00
     2  6.37818E-01 -3.57617E-01  0.00000E+00  1.00000E+00
     3 -1.07853E+00  4.23540E-02  0.00000E+00  1.00000E+00
     1  3.30955E-01  2.63117E-01  0.00000E+00  1.00000E+00
     2  7.36590E-01 -3.52196E-01  0.00000E+00  1.00000E+00
     3 -1.06831E+00  8.90752E-02  0.00000E+00  1.00000E+00
     1  2.26842E-01  1.95060E-01  0.00000E+00  1.00000E+00
     2  8.22634E-01 -3.30775E-01  0.00000E+00  1.00000E+00
     3 -1.05025E+00  1.35711E-01  0.00000E+00  1.00000E+00
     1  1.28298E-01  1.16209E-01  0.00000E+00  1.00000E+00
     2  8.94362E-01 -2.98164E-01  0.00000E+00  1.00000E+00
     3 -1.02344E+00  1.81951E-01  0.00000E+00  1.00000E+00
     1  3.37450E-02  3.14636E-02  0.00000E+00  1.00000E+00
     2  9.52092E-01 -2.58557E-01  0.00000E+00  1.00000E+00
     3 -9.86627E-01  2.27089E-01  0.00000E+00  1.00000E+00
     1 -5.96506E-02 -5.48017E-02  0.00000E+00  1.00000E+00
     2  9.97131E-01 -2.15002E-01  0.00000E+00  1.00000E+00
     3 -9.38280E-01  2.69800E-01  0.00000E+00  1.00000E+00
     1 -1.55039E-01 -1.38400E-01  0.00000E+00  1.00000E+00
     2  1.03107E+00 -1.69457E-01  0.00000E+00  1.00000E+00
     3 -8.76838E-01  3.07852E-01  0.00000E+00  1.00000E+00
     1 -2.55011E-01 -2.14829E-01  0.00000E+00  1.00000E+00
     2  1.05537E+00 -1.23052E-01  0.00000E+00  1.00000E+00
     3 -8.01177E-01  3.37877E-01  0.00000E+00  1.00000E+00
     1 -3.60628E-01 -2.79062E-01  0.00000E+00  1.00000E+00
     2  1.07121E+00 -7.63667E-02  0.00000E+00  1.00000E+00
     3 -7.11406E-01  3.55424E-01  0.00000E+00  1.00000E+00
     1 -4.70469E-01 -3.26096E-01  0.00000E+00  1.00000E+00
     2  1.07939E+00 -2.96365E-02  0.00000E+00  1.00000E+00
     3 -6.09758E-01  3.55728E-01  0.00000E+00  1.00000E+00
     1 -5.80352E-01 -3.52416E-01  0.00000E+00  1.00000E+00
     2  1.08035E+00  1.70854E-02  0.00000E+00  1.00000E+00
     3 -5.00842E-01  3.35325E-01  0.00000E+00  1.00000E+00
     1 -6.84528E-01 -3.57552E-01  0.00000E+00  1.00000E+00
     2  1.07413E+00  6.38125E-02  0.00000E+00  1.00000E+00
     3 -3.90461E-01  2.93735E-01  0.00000E+00  1.00000E+00
     1 -7.77876E-01 -3.44283E-01  0.00000E+00  1.00000E+00
     2  1.06042E+00  1.10521E-01  0.00000E+00  1.00000E+00
     3 -2.83408E-01  2.33757E-01  0.00000E+00  1.00000E+00
     1 -8.57485E-01 -3.17205E-01  0.00000E+00  1.00000E+00
     2  1.03849E+00  1.57037E-01  0.00000E+00  1.00000E+00
     3 -1.81888E-01  1.60163E-01  0.00000E+00  1.00000E+00
     1 -9.22743E-01 -2.80969E-01  0.00000E+00  1.00000E+00
     2  1.00729E+00  2.02895E-01  0.00000E+00  1.00000E+00
     3 -8.54372E-02  7.80692E-02  0.00000E+00  1.00000E+00
     1 -9.74526E-01 -2.39270E-01  0.00000E+00  1.00000E+00
     2  9.65408E-01  2.47139E-01  0.00000E+00  1.00000E+00
     3  8.21997E-03 -7.87402E-03  0.00000E+00  1.00000E+00
     1 -1.01434E+00 -1.94632E-01  0.00000E+00  1.00000E+00
     2  9.11259E-01  2.88064E-01  0.00000E+00  1.00000E+00
     3  1.02169E-01 -9.34377E-02  0.00000E+00  1.00000E+00
     1 -1.04374E+00 -1.48601E-01  0.00000E+00  1.00000E+00
     2  8.43406E-01  3.22940E-01  0.00000E+00  1.00000E+00
     3  1.99418E-01 -1.74344E-01  0.00000E+00  1.00000E+00
     1 -1.06409E+00 -1.02026E-01  0.00000E+00  1.00000E+00
     2  7.61172E-01  3.47862E-01  0.00000E+00  1.00000E+00
     3  3.01989E-01 -2.45841E-01  0.00000E+00  1.00000E+00
     1 -1.07638E+00 -5.53083E-02  0.00000E+00  1.00000E+00
     2  6.65541E-01  3.58083E-01  0.00000E+00  1.00000E+00
     3  4.09906E-01 -3.02781E-01  0.00000E+00  1.00000E+00
     1 -1.08127E+00 -8.58304E-03  0.00000E+00  1.00000E+00
     2  5.59878E-01  3.49195E-01  0.00000E+00  1.00000E+00
     3  5.20443E-01 -3.40618E-01  0.00000E+00  1.00000E+00
     1 -1.07900E+00  3.81401E-02  0.00000E+00  1.00000E+00
     2  4.49580E-01  3.18942E-01  0.00000E+00  1.00000E+00
     3  6.28461E-01 -3.57089E-01  0.00000E+00  1.00000E+00
     1 -1.06945E+00  8.48702E-02  0.00000E+00  1.00000E+00
     2  3.40266E-01  2.68422E-01  0.00000E+00  1.00000E+00
     3  7.28221E-01 -3.53299E-01  0.00000E+00  1.00000E+00
     1 -1.05213E+00  1.31530E-01  0.00000E+00  1.00000E+00
     2  2.35651E-01  2.01558E-01  0.00000E+00  1.00000E+00
     3  8.15504E-01 -3.33095E-01  0.00000E+00  1.00000E+00
     1 -1.02616E+00  1.77835E-01  0.00000E+00  1.00000E+00
     2  1.36652E-01  1.23446E-01  0.00000E+00  1.00000E+00
     3  8.88519E-01 -3.01288E-01  0.00000E+00  1.00000E+00
     1 -9.90295E-01  2.23122E-01  0.00000E+00  1.00000E+00
     2  4.18464E-02  3.90303E-02  0.00000E+00  1.00000E+00
     3  9.47453E-01 -2.62160E-01  0.00000E+00  1.00000E+00
     1 -9.43039E-01  2.66130E-01  0.00000E+00  1.00000E+00
     2 -5.15289E-02 -4.72738E-02  0.00000E+00  1.00000E+00
     3  9.93563E-01 -2.18863E-01  0.00000E+00  1.00000E+00
     1 -8.82813E-01  3.04718E-01  0.00000E+00  1.00000E+00
     2 -1.46632E-01 -1.31283E-01  0.00000E+00  1.00000E+00
     3  1.02843E+00 -1.73442E-01  0.00000E+00  1.00000E+00
     1 -8.08427E-01  3.35619E-01  0.00000E+00  1.00000E+00
     2 -2.46142E-01 -2.08538E-01  0.00000E+00  1.00000E+00
     3  1.05354E+00 -1.27089E-01  0.00000E+00  1.00000E+00
     1 -7.19846E-01  3.54461E-01  0.00000E+00  1.00000E+00
     2 -3.51296E-01 -2.74048E-01  0.00000E+00  1.00000E+00
     3  1.07011E+00 -8.04212E-02  0.00000E+00  1.00000E+00
     1 -6.19090E-01  3.56448E-01  0.00000E+00  1.00000E+00
     2 -4.60914E-01 -3.22760E-01  0.00000E+00  1.00000E+00
     3  1.07896E+00 -3.36972E-02  0.00000E+00  1.00000E+00
     1 -5.10589E-01  3.37928E-01  0.00000E+00  1.00000E+00
     2 -5.71031E-01 -3.50955E-01  0.00000E+00  1.00000E+00
     3  1.08056E+00  1.30190E-02  0.00000E+00  1.00000E+00
     1 -4.00125E-01  2.98118E-01  0.00000E+00  1.00000E+00
     2 -6.75949E-01 -3.57866E-01  0.00000E+00  1.00000E+00
     3  1.07501E+00  5.97391E-02  0.00000E+00  1.00000E+00
     1 -2.92666E-01  2.39571E-01  0.00000E+00  1.00000E+00
     2 -7.70409E-01 -3.46026E-01  0.00000E+00  1.00000E+00
     3  1.06200E+00  1.06447E-01  0.00000E+00  1.00000E+00
     1 -1.90665E-01  1.66957E-01  0.00000E+00  1.00000E+00
     2 -8.51283E-01 -3.19953E-01  0.00000E+00  1.00000E+00
     3  1.04086E+00  1.52986E-01  0.00000E+00  1.00000E+00
     1 -9.38645E-02  8.54124E-02  0.00000E+00  1.00000E+00
     2 -9.17785E-01 -2.84347E-01  0.00000E+00  1.00000E+00
     3  1.01055E+00  1.98925E-01  0.00000E+00  1.00000E+00
     1 -1.08209E-04 -3.65761E-04  0.00000E+00  1.00000E+00
     2 -9.70699E-01 -2.43003E-01  0.00000E+00  1.00000E+00
     3  9.69701E-01  2.43359E-01  0.00000E+00  1.00000E+00
     1  9.36543E-02 -8.61293E-02  0.00000E+00  1.00000E+00
     2 -1.01150E+00 -1.98545E-01  0.00000E+00  1.00000E+00
     3  9.16731E-01  2.84664E-01  0.00000E+00  1.00000E+00
     1  1.90470E-01 -1.67630E-01  0.00000E+00  1.00000E+00
     2 -1.04177E+00 -1.52592E-01  0.00000E+00  1.00000E+00
     3  8.50173E-01  3.20211E-01  0.00000E+00  1.00000E+00
     1  2.92485E-01 -2.40172E-01  0.00000E+00  1.00000E+00
     2 -1.06287E+00 -1.06043E-01  0.00000E+00  1.00000E+00
     3  7.69251E-01  3.46204E-01  0.00000E+00  1.00000E+00
     1  3.99943E-01 -2.98627E-01  0.00000E+00  1.00000E+00
     2 -1.07585E+00 -5.93298E-02  0.00000E+00  1.00000E+00
     3  6.74764E-01  3.57945E-01  0.00000E+00  1.00000E+00
     1  5.10379E-01 -3.38339E-01  0.00000E+00  1.00000E+00
     2 -1.08138E+00 -1.26055E-02  0.00000E+00  1.00000E+00
     3  5.69849E-01  3.50932E-01  0.00000E+00  1.00000E+00
     1  6.18825E-01 -3.56775E-01  0.00000E+00  1.00000E+00
     2 -1.07976E+00  3.41136E-02  0.00000E+00  1.00000E+00
     3  4.59764E-01  3.22649E-01  0.00000E+00  1.00000E+00
     1  7.19511E-01 -3.54731E-01  0.00000E+00  1.00000E+00
     2 -1.07088E+00  8.08392E-02  0.00000E+00  1.00000E+00
     3  3.50193E-01  2.73879E-01  0.00000E+00  1.00000E+00
     1  8.08023E-01 -3.35861E-01  0.00000E+00  1.00000E+00
     2 -1.05430E+00  1.27507E-01  0.00000E+00  1.00000E+00
     3  2.45085E-01  2.08341E-01  0.00000E+00  1.00000E+00
     1  8.82349E-01 -3.04951E-01  0.00000E+00  1.00000E+00
     2 -1.02916E+00  1.73857E-01  0.00000E+00  1.00000E+00
     3  1.45610E-01  1.31081E-01  0.00000E+00  1.00000E+00
     1  9.42528E-01 -2.66366E-01  0.00000E+00  1.00000E+00
     2 -9.94263E-01  2.19270E-01  0.00000E+00  1.00000E+00
     3  5.05259E-02  4.70824E-02  0.00000E+00  1.00000E+00
     1  9.89749E-01 -2.23367E-01  0.00000E+00  1.00000E+00
     2 -9.48126E-01  2.62552E-01  0.00000E+00  1.00000E+00
     3 -4.28422E-02 -3.91996E-02  0.00000E+00  1.00000E+00
     1  1.02558E+00 -1.78089E-01  0.00000E+00  1.00000E+00
     2 -8.89164E-01  3.01657E-01  0.00000E+00  1.00000E+00
     3 -1.37648E-01 -1.23584E-01  0.00000E+00  1.00000E+00
     1  1.05154E+00 -1.31793E-01  0.00000E+00  1.00000E+00
     2 -8.16126E-01  3.33433E-01  0.00000E+00  1.00000E+00
     3 -2.36651E-01 -2.01656E-01  0.00000E+00  1.00000E+00
