        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10 
        0.22  7.2793E-02 -3.5312E-01 -6.3242E-01 -4.1597E-01 -1.2067E-02 -1.5124E-01  4.7834E-01 -2.7560E-01 -1.2222E-01 -7.1999E-01 -4.7302E-01 -8.8106E-02  3.2880E-01 -7.0217E-01 -5.7302E-01  5.2614E-01  3.0427E-02 -9.6026E-01  3.6757E-01  8.7427E-02 -4.3640E-01 -8.0668E-01 -7.7257E-01 -7.9313E-01  5.6060E-01 -4.7123E-02 -9.0686E-01  9.6441E-01 -5.2223E-01 -8.3449E-01
        0.23  7.1959E-02 -3.4707E-01 -6.2684E-01 -4.1486E-01 -2.1595E-02 -1.5574E-01  4.6816E-01 -2.6923E-01 -1.1904E-01 -7.2709E-01 -4.7627E-01 -8.1943E-02  3.2617E-01 -7.0305E-01 -5.7059E-01  5.1678E-01  3.4965E-02 -9.7048E-01  3.6216E-01  9.1722E-02 -4.3002E-01 -8.0458E-01 -7.7552E-01 -8.0157E-01  5.6001E-01 -5.4619E-02 -9.0422E-01  9.7010E-01 -5.1917E-01 -8.4035E-01
        0.24  7.1244E-02 -3.4103E-01 -6.2124E-01 -4.1372E-01 -3.1180E-02 -1.6026E-01  4.5794E-01 -2.6285E-01 -1.1599E-01 -7.3415E-01 -4.7951E-01 -7.5803E-02  3.2353E-01 -7.0382E-01 -5.6817E-01  5.0776E-01  3.8731E-02 -9.8009E-01  3.5676E-01  9.5922E-02 -4.2372E-01 -8.0243E-01 -7.7844E-01 -8.0998E-01  5.5902E-01 -6.1397E-02 -9.0206E-01  9.7570E-01 -5.1607E-01 -8.4620E-01
        0.25  7.0648E-02 -3.3499E-01 -6.1564E-01 -4.1255E-01 -4.0822E-02 -1.6481E-01  4.4769E-01 -2.5646E-01 -1.1306E-01 -7.4116E-01 -4.8273E-01 -6.9688E-02  3.2089E-01 -7.0448E-01 -5.6577E-01  4.9898E-01  4.1916E-02 -9.8922E-01  3.5138E-01  1.0003E-01 -4.1751E-01 -8.0024E-01 -7.8134E-01 -8.1836E-01  5.5772E-01 -6.7655E-02 -9.0027E-01  9.8120E-01 -5.1291E-01 -8.5202E-01
        0.26  7.0169E-02 -3.2897E-01 -6.1002E-01 -4.1134E-01 -5.0519E-02 -1.6939E-01  4.3739E-01 -2.5005E-01 -1.1026E-01 -7.4814E-01 -4.8595E-01 -6.3596E-02  3.1825E-01 -7.0504E-01 -5.6338E-01  4.9041E-01  4.4636E-02 -9.9793E-01  3.4601E-01  1.0404E-01 -4.1138E-01 -7.9800E-01 -7.8422E-01 -8.2671E-01  5.5614E-01 -7.3515E-02 -8.9876E-01  9.8661E-01 -5.0971E-01 -8.5783E-01
        0.27  6.9804E-02 -3.2296E-01 -6.0440E-01 -4.1009E-01 -6.0270E-02 -1.7399E-01  4.2707E-01 -2.4363E-01 -1.0759E-01 -7.5507E-01 -4.8916E-01 -5.7527E-02  3.1560E-01 -7.0549E-01 -5.6101E-01  4.8202E-01  4.6970E-02 -1.0063E+00  3.4064E-01  1.0796E-01 -4.0532E-01 -7.9573E-01 -7.8707E-01 -8.3503E-01  5.5433E-01 -7.9059E-02 -8.9749E-01  9.9193E-01 -5.0646E-01 -8.6362E-01
        0.28  6.9552E-02 -3.1696E-01 -5.9878E-01 -4.0882E-01 -7.0073E-02 -1.7863E-01  4.1671E-01 -2.3719E-01 -1.0504E-01 -7.6195E-01 -4.9235E-01 -5.1482E-02  3.1294E-01 -7.0584E-01 -5.5865E-01  4.7376E-01  4.8973E-02 -1.0143E+00  3.3529E-01  1.1179E-01 -3.9935E-01 -7.9341E-01 -7.8989E-01 -8.4332E-01  5.5231E-01 -8.4344E-02 -8.9640E-01  9.9715E-01 -5.0316E-01 -8.6939E-01
        0.29  6.9412E-02 -3.1096E-01 -5.9314E-01 -4.0750E-01 -7.9928E-02 -1.8329E-01  4.0631E-01 -2.3073E-01 -1.0262E-01 -7.6880E-01 -4.9554E-01 -4.5459E-02  3.1028E-01 -7.0608E-01 -5.5631E-01  4.6564E-01  5.0688E-02 -1.0221E+00  3.2994E-01  1.1552E-01 -3.9344E-01 -7.9105E-01 -7.9270E-01 -8.5159E-01  5.5012E-01 -8.9413E-02 -8.9548E-01  1.0023E+00 -4.9982E-01 -8.7514E-01
        0.30  6.9382E-02 -3.0497E-01 -5.8751E-01 -4.0614E-01 -8.9831E-02 -1.8797E-01  3.9589E-01 -2.2426E-01 -1.0033E-01 -7.7560E-01 -4.9871E-01 -3.9460E-02  3.0761E-01 -7.0623E-01 -5.5399E-01  4.5764E-01  5.2146E-02 -1.0296E+00  3.2460E-01  1.1915E-01 -3.8761E-01 -7.8866E-01 -7.9547E-01 -8.5982E-01  5.4775E-01 -9.4298E-02 -8.9469E-01  1.0073E+00 -4.9643E-01 -8.8087E-01
        0.31  6.9460E-02 -2.9899E-01 -5.8187E-01 -4.0475E-01 -9.9782E-02 -1.9269E-01  3.8543E-01 -2.1777E-01 -9.8166E-02 -7.8236E-01 -5.0187E-01 -3.3484E-02  3.0494E-01 -7.0626E-01 -5.5167E-01  4.4973E-01  5.3374E-02 -1.0369E+00  3.1926E-01  1.2269E-01 -3.8185E-01 -7.8622E-01 -7.9822E-01 -8.6803E-01  5.4523E-01 -9.9025E-02 -8.9402E-01  1.0123E+00 -4.9300E-01 -8.8658E-01
        0.32  6.9645E-02 -2.9301E-01 -5.7623E-01 -4.0331E-01 -1.0978E-01 -1.9743E-01  3.7494E-01 -2.1126E-01 -9.6132E-02 -7.8908E-01 -5.0503E-01 -2.7530E-02  3.0226E-01 -7.0620E-01 -5.4938E-01  4.4193E-01  5.4390E-02 -1.0439E+00  3.1393E-01  1.2614E-01 -3.7615E-01 -7.8374E-01 -8.0095E-01 -8.7621E-01  5.4257E-01 -1.0361E-01 -8.9345E-01  1.0171E+00 -4.8953E-01 -8.9227E-01
        0.33  6.9935E-02 -2.8704E-01 -5.7059E-01 -4.0183E-01 -1.1982E-01 -2.0219E-01  3.6442E-01 -2.0473E-01 -9.4228E-02 -7.9576E-01 -5.0817E-01 -2.1599E-02  2.9958E-01 -7.0604E-01 -5.4709E-01  4.3420E-01  5.5213E-02 -1.0508E+00  3.0859E-01  1.2948E-01 -3.7051E-01 -7.8122E-01 -8.0366E-01 -8.8437E-01  5.3978E-01 -1.0808E-01 -8.9297E-01  1.0219E+00 -4.8602E-01 -8.9794E-01
        0.34  7.0329E-02 -2.8107E-01 -5.6495E-01 -4.0030E-01 -1.2990E-01 -2.0698E-01  3.5386E-01 -1.9818E-01 -9.2454E-02 -8.0240E-01 -5.1130E-01 -1.5691E-02  2.9689E-01 -7.0577E-01 -5.4483E-01  4.2656E-01  5.5857E-02 -1.0574E+00  3.0326E-01  1.3273E-01 -3.6494E-01 -7.7867E-01 -8.0634E-01 -8.9249E-01  5.3686E-01 -1.1244E-01 -8.9257E-01  1.0266E+00 -4.8247E-01 -9.0359E-01
        0.35  7.0824E-02 -2.7511E-01 -5.5931E-01 -3.9873E-01 -1.4002E-01 -2.1180E-01  3.4328E-01 -1.9161E-01 -9.0813E-02 -8.0900E-01 -5.1442E-01 -9.8049E-03  2.9420E-01 -7.0541E-01 -5.4257E-01  4.1899E-01  5.6333E-02 -1.0638E+00  2.9793E-01  1.3589E-01 -3.5943E-01 -7.7607E-01 -8.0900E-01 -9.0059E-01  5.3383E-01 -1.1670E-01 -8.9224E-01  1.0312E+00 -4.7889E-01 -9.0923E-01
        0.36  7.1421E-02 -2.6915E-01 -5.5367E-01 -3.9711E-01 -1.5018E-01 -2.1664E-01  3.3268E-01 -1.8503E-01 -8.9305E-02 -8.1556E-01 -5.1753E-01 -3.9411E-03  2.9150E-01 -7.0494E-01 -5.4033E-01  4.1149E-01  5.6653E-02 -1.0701E+00  2.9260E-01  1.3894E-01 -3.5398E-01 -7.7344E-01 -8.1163E-01 -9.0866E-01  5.3068E-01 -1.2088E-01 -8.9196E-01  1.0357E+00 -4.7526E-01 -9.1484E-01
        0.37  7.2116E-02 -2.6320E-01 -5.4803E-01 -3.9544E-01 -1.6038E-01 -2.2151E-01  3.2204E-01 -1.7841E-01 -8.7931E-02 -8.2207E-01 -5.2063E-01  1.9007E-03  2.8879E-01 -7.0438E-01 -5.3811E-01  4.0406E-01  5.6826E-02 -1.0762E+00  2.8727E-01  1.4190E-01 -3.4858E-01 -7.7076E-01 -8.1424E-01 -9.1671E-01  5.2742E-01 -1.2497E-01 -8.9174E-01  1.0401E+00 -4.7160E-01 -9.2043E-01
        0.38  7.2908E-02 -2.5725E-01 -5.4240E-01 -3.9371E-01 -1.7061E-01 -2.2640E-01  3.1138E-01 -1.7178E-01 -8.6693E-02 -8.2855E-01 -5.2372E-01  7.7205E-03  2.8608E-01 -7.0372E-01 -5.3589E-01  3.9669E-01  5.6859E-02 -1.0821E+00  2.8194E-01  1.4475E-01 -3.4324E-01 -7.6805E-01 -8.1683E-01 -9.2473E-01  5.2406E-01 -1.2900E-01 -8.9156E-01  1.0444E+00 -4.6791E-01 -9.2600E-01
        0.39  7.3796E-02 -2.5130E-01 -5.3676E-01 -3.9193E-01 -1.8087E-01 -2.3131E-01  3.0069E-01 -1.6512E-01 -8.5593E-02 -8.3499E-01 -5.2680E-01  1.3518E-02  2.8337E-01 -7.0297E-01 -5.3370E-01  3.8938E-01  5.6760E-02 -1.0879E+00  2.7660E-01  1.4750E-01 -3.3795E-01 -7.6531E-01 -8.1939E-01 -9.3272E-01  5.2061E-01 -1.3296E-01 -8.9143E-01  1.0487E+00 -4.6418E-01 -9.3155E-01
        0.40  7.4778E-02 -2.4535E-01 -5.3113E-01 -3.9009E-01 -1.9115E-01 -2.3625E-01  2.8998E-01 -1.5844E-01 -8.4632E-02 -8.4139E-01 -5.2987E-01  1.9295E-02  2.8065E-01 -7.0211E-01 -5.3152E-01  3.8212E-01  5.6534E-02 -1.0935E+00  2.7126E-01  1.5016E-01 -3.3272E-01 -7.6252E-01 -8.2194E-01 -9.4069E-01  5.1705E-01 -1.3685E-01 -8.9133E-01  1.0528E+00 -4.6042E-01 -9.3708E-01
        0.41  7.5852E-02 -2.3941E-01 -5.2551E-01 -3.8819E-01 -2.0146E-01 -2.4122E-01  2.7925E-01 -1.5172E-01 -8.3812E-02 -8.4776E-01 -5.3293E-01  2.5050E-02  2.7793E-01 -7.0116E-01 -5.2935E-01  3.7492E-01  5.6189E-02 -1.0990E+00  2.6591E-01  1.5270E-01 -3.2753E-01 -7.5970E-01 -8.2445E-01 -9.4863E-01  5.1341E-01 -1.4070E-01 -8.9127E-01  1.0569E+00 -4.5663E-01 -9.4259E-01
        0.42  7.7017E-02 -2.3346E-01 -5.1988E-01 -3.8623E-01 -2.1180E-01 -2.4620E-01  2.6849E-01 -1.4498E-01 -8.3136E-02 -8.5408E-01 -5.3598E-01  3.0783E-02  2.7520E-01 -7.0012E-01 -5.2719E-01  3.6777E-01  5.5728E-02 -1.1043E+00  2.6056E-01  1.5515E-01 -3.2240E-01 -7.5684E-01 -8.2695E-01 -9.5654E-01  5.0968E-01 -1.4448E-01 -8.9123E-01  1.0609E+00 -4.5281E-01 -9.4808E-01
