 Body           x           y           z          vx          vy          vz             Time
  3         1.1150E+00  6.7357E-01 -3.6493E-01 -5.9679E+00  5.9059E+00  6.6177E-01        0.17
  4         1.5968E+00  1.8453E+00  5.3801E-01 -3.4028E+00  3.9837E+00  5.0684E-01        0.17
  5         2.4913E+00 -2.5126E-01 -6.3223E-01 -1.1961E+00  5.7804E+00 -4.9927E-01        0.17
  1         1.8108E-08  8.3774E-09  7.5220E-10  1.8182E-07  1.1508E-07  5.0638E-09        0.18
  2         2.3695E-02  1.2216E+00  2.4913E-01 -7.3137E+00 -1.0175E+00 -9.2954E-01        0.18
  3         1.0524E+00  7.3176E-01 -3.5749E-01 -6.4211E+00  5.6119E+00  8.1283E-01        0.18
  4         1.5619E+00  1.8849E+00  5.4295E-01 -3.5045E+00  3.8636E+00  4.7203E-01        0.18
  5         2.4785E+00 -1.9281E-01 -6.3709E-01 -1.3432E+00  5.7935E+00 -4.6170E-01        0.18
  1         1.9980E-08  9.5943E-09  8.0189E-10  1.8871E-07  1.2598E-07  4.7671E-09        0.19
  2        -5.0170E-02  1.2080E+00  2.3908E-01 -7.3066E+00 -1.6615E+00 -1.0589E+00        0.19
  3         9.8533E-01  7.8679E-01 -3.4850E-01 -6.8691E+00  5.2779E+00  9.6807E-01        0.19
  4         1.5260E+00  1.9233E+00  5.4754E-01 -3.6029E+00  3.7422E+00  4.3726E-01        0.19
  5         2.4641E+00 -1.3424E-01 -6.4156E-01 -1.4923E+00  5.8034E+00 -4.2312E-01        0.19
  1         2.1918E-08  1.0924E-08  8.4830E-10  1.9509E-07  1.3751E-07  4.4128E-09        0.20
  2        -1.2376E-01  1.1879E+00  2.2774E-01 -7.2585E+00 -2.3211E+00 -1.1874E+00        0.20
  3         9.1372E-01  8.3823E-01 -3.3792E-01 -7.3090E+00  4.9012E+00  1.1271E+00        0.20
  4         1.4891E+00  1.9605E+00  5.5178E-01 -3.6981E+00  3.6195E+00  4.0254E-01        0.20
  5         2.4483E+00 -7.5590E-02 -6.4563E-01 -1.6434E+00  5.8098E+00 -3.8352E-01        0.20
  1         2.3919E-08  1.2374E-08  8.9085E-10  2.0090E-07  1.4969E-07  4.0033E-09        0.21
  2        -1.9664E-01  1.1611E+00  2.1510E-01 -7.1662E+00 -2.9966E+00 -1.3147E+00        0.21
  3         8.3773E-01  8.8565E-01 -3.2572E-01 -7.7373E+00  4.4794E+00  1.2894E+00        0.21
  4         1.4513E+00  1.9964E+00  5.5567E-01 -3.7902E+00  3.4956E+00  3.6786E-01        0.21
  5         2.4309E+00 -1.6894E-02 -6.4930E-01 -1.7965E+00  5.8127E+00 -3.4288E-01        0.21
  1         2.5974E-08  1.3950E-08  9.2899E-10  2.0606E-07  1.6256E-07  3.5417E-09        0.22
  2        -2.6835E-01  1.1274E+00  2.0118E-01 -7.0255E+00 -3.6882E+00 -1.4405E+00        0.22
  3         7.5748E-01  9.2856E-01 -3.1187E-01 -8.1498E+00  4.0100E+00  1.4543E+00        0.22
  4         1.4125E+00  2.0311E+00  5.5921E-01 -3.8792E+00  3.3705E+00  3.3323E-01        0.22
  5         2.4120E+00  4.1814E-02 -6.5255E-01 -1.9516E+00  5.8119E+00 -3.0118E-01        0.22
  1         2.8079E-08  1.5660E-08  9.6223E-10  2.1047E-07  1.7614E-07  3.0317E-09        0.23
  2        -3.3838E-01  1.0865E+00  1.8601E-01 -6.8313E+00 -4.3960E+00 -1.5643E+00        0.23
  3         6.7317E-01  9.6648E-01 -2.9634E-01 -8.5415E+00  3.4907E+00  1.6209E+00        0.23
  4         1.3729E+00  2.0645E+00  5.6241E-01 -3.9651E+00  3.2442E+00  2.9864E-01        0.23
  5         2.3915E+00  1.0049E-01 -6.5538E-01 -2.1087E+00  5.8073E+00 -2.5842E-01        0.23
  1         3.0223E-08  1.7511E-08  9.9008E-10  2.1400E-07  1.9045E-07  2.4776E-09        0.24
  2        -4.0615E-01  1.0385E+00  1.6960E-01 -6.5775E+00 -5.1194E+00 -1.6853E+00        0.24
  3         5.8503E-01  9.9890E-01 -2.7912E-01 -8.9068E+00  2.9196E+00  1.7880E+00        0.24
  4         1.3325E+00  2.0966E+00  5.6525E-01 -4.0480E+00  3.1167E+00  2.6409E-01        0.24
  5         2.3694E+00  1.5911E-01 -6.5777E-01 -2.2677E+00  5.7986E+00 -2.1456E-01        0.24
  1         3.2398E-08  1.9510E-08  1.0121E-09  2.1652E-07  2.0548E-07  1.8839E-09        0.25
  2        -4.7102E-01  9.8309E-01  1.5198E-01 -6.2569E+00 -5.8574E+00 -1.8027E+00        0.25
  3         4.9336E-01  1.0253E+00 -2.6022E-01 -9.2390E+00  2.2953E+00  1.9543E+00        0.25
  4         1.2912E+00  2.1275E+00  5.6774E-01 -4.1279E+00  2.9881E+00  2.2959E-01        0.25
  5         2.3457E+00  2.1761E-01 -6.5971E-01 -2.4286E+00  5.7857E+00 -1.6961E-01        0.25
  1         3.4593E-08  2.1664E-08  1.0280E-09  2.1788E-07  2.2124E-07  1.2550E-09        0.26
  2        -5.3228E-01  9.2015E-01  1.3320E-01 -5.8607E+00 -6.6079E+00 -1.9151E+00        0.26
  3         3.9854E-01  1.0451E+00 -2.3965E-01 -9.5309E+00  1.6170E+00  2.1180E+00        0.26
  4         1.2491E+00  2.1570E+00  5.6989E-01 -4.2048E+00  2.8583E+00  1.9513E-01        0.26
  5         2.3203E+00  2.7596E-01 -6.6119E-01 -2.5913E+00  5.7685E+00 -1.2354E-01        0.26
  1         3.6794E-08  2.3981E-08  1.0374E-09  2.1787E-07  2.3768E-07  5.9470E-10        0.27
  2        -5.8912E-01  8.4957E-01  1.1331E-01 -5.3787E+00 -7.3677E+00 -2.0209E+00        0.27
  3         3.0100E-01  1.0578E+00 -2.1745E-01 -9.7740E+00  8.8515E-01  2.2770E+00        0.27
  4         1.2062E+00  2.1852E+00  5.7168E-01 -4.2788E+00  2.7274E+00  1.6072E-01        0.27
  5         2.2933E+00  3.3412E-01 -6.6220E-01 -2.7558E+00  5.7467E+00 -7.6344E-02        0.27
  1         3.8988E-08  2.6467E-08  1.0399E-09  2.1630E-07  2.5474E-07 -9.5549E-11        0.28
  2        -6.4060E-01  7.7131E-01  9.2406E-02 -4.7985E+00 -8.1313E+00 -2.1177E+00        0.28
  3         2.0130E-01  1.0628E+00 -1.9368E-01 -9.9593E+00  1.0126E-01  2.4289E+00        0.28
  4         1.1627E+00  2.2121E+00  5.7313E-01 -4.3499E+00  2.5954E+00  1.2636E-01        0.28
  5         2.2647E+00  3.9203E-01 -6.6273E-01 -2.9221E+00  5.7202E+00 -2.8009E-02        0.28
  1         4.1158E-08  2.9129E-08  1.0353E-09  2.1291E-07  2.7231E-07 -8.1801E-10        0.29
  2        -6.8567E-01  6.8534E-01  7.0578E-02 -4.1059E+00 -8.8907E+00 -2.2025E+00        0.29
  3         1.0005E-01  1.0596E+00 -1.6842E-01 -1.0077E+01 -7.3129E-01  2.5708E+00        0.29
